"Season","Date","Court","Time","Visitor","Home","Division","Location"
"Winter 2013","1/13/2013","Court 4","6:30pm","6S Lady Warriors 6th","6S Elkhorn Elite Kehrli 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/20/2013","Court 2","12:30pm","6S Wahoo Cavalry 6th","6S Elkhorn Elite Kehrli 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/10/2013","Court 3","2:30pm","6S Council Bluffs Titans White 6th","6S Elkhorn Elite Kehrli 6th","6th Grade Silver","Lied Center"
"Winter 2013","3/3/2013","Court 2","12:30pm","6S Bellevue Thunder 6th Pancoe","6S Elkhorn Elite Kehrli 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/13/2013","Court 3","2:30pm","6S Elkhorn Elite Kehrli 6th","6S For Pete Force Gold 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/20/2013","Court 4","6:30pm","6S Bellevue Thunder 6th Pancoe","6S For Pete Force Gold 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/24/2013","Court 4","6:30pm","6S Lady Grizzlies Black 6th","6S For Pete Force Gold 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/20/2013","Court 1","10:30am","6S Elkhorn Elite Kehrli 6th","6S Lady Grizzlies Black 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/27/2013","Court 2","12:30pm","6S Lady Warriors 6th","6S Lady Grizzlies Black 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 1","10:30am","6S Marian Crusaders Blue 6th","6S Lady Grizzlies Black 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 2","12:30pm","6S Wahoo Cavalry 6th","6S Lady Grizzlies Black 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/27/2013","Court 2","1:30pm","6S Millard South White 6th","6S Lady Warriors 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 3","2:30pm","6S Council Bluffs Titans Blue 6th","6S Lady Warriors 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/24/2013","Court 2","12:30pm","6S Council Bluffs Titans White 6th","6S Lady Warriors 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/13/2013","Court 1","10:30am","6S Bellevue Thunder 6th Pancoe","6S Marian Crusaders Blue 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/27/2013","Court 3","2:30pm","6S Millard South White 6th","6S Marian Crusaders Blue 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/24/2013","Court 1","10:30am","6S Lady Warriors 6th","6S Marian Crusaders Blue 6th","6th Grade Silver","Lied Center"
"Winter 2013","3/3/2013","Court 2","1:30pm","6S Council Bluffs Titans Blue 6th","6S Marian Crusaders Blue 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 4","6:30pm","6S Bellevue Thunder 6th Pancoe","6S Millard South White 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/10/2013","Court 4","6:30pm","6S For Pete Force Gold 6th","6S Millard South White 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/24/2013","Court 3","2:30pm","6S Elkhorn Elite Kehrli 6th","6S Millard South White 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/20/2013","Court 2","1:30pm","6S Council Bluffs Titans Blue 6th","6S Wahoo Cavalry 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 2","1:30pm","6S Council Bluffs Titans White 6th","6S Wahoo Cavalry 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/10/2013","Court 1","10:30am","6S Marian Crusaders Blue 6th","6S Wahoo Cavalry 6th","6th Grade Silver","Lied Center"
"Winter 2013","3/3/2013","Court 4","6:30pm","6S For Pete Force Gold 6th","6S Wahoo Cavalry 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/13/2013","Court 3","9:30am","7B OSA Black 7th","7B Abraham Lincoln Lynx Blue 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/13/2013","Court 3","11:30am","7B Skutt Black 7th","7B Abraham Lincoln Lynx Blue 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/27/2013","Court 3","9:30am","7B Bellevue Thunder Purple 7th","7B Abraham Lincoln Lynx Blue 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/13/2013","Court 3","12:30pm","7B Skutt Black 7th","7B Bellevue Thunder Purple 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/20/2013","Court 3","12:30pm","7B OSA Black 7th","7B Bellevue Thunder Purple 7th","7th Grade Bronze","Lied Center"
"Winter 2013","2/10/2013","Court 3","11:30am","7B Westside Red 7th","7B Bellevue Thunder Purple 7th","7th Grade Bronze","Lied Center"
