"Date","Team","Location","Start Time","End Time","Calendar","Season","Division","Game Type"
12/18/08,"Freshman","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/18/08,"Junior Varsity","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/18/08,"Varsity","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/19/08,"Freshman","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
12/22/08,"Freshman","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/22/08,"Junior Varsity","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/22/08,"Varsity","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/23/08,"Freshman","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/23/08,"Junior Varsity","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/23/08,"Varsity","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/27/08,"Freshman","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/27/08,"Junior Varsity","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/27/08,"Varsity","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/29/08,"Freshman","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/29/08,"Junior Varsity","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/29/08,"Varsity","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/30/08,"Freshman","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/30/08,"Junior Varsity","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/30/08,"Varsity","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/31/08,"Freshman","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/31/08,"Junior Varsity","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
12/31/08,"Varsity","Abraham Lincoln HS",09:00:00 AM,11:00:00 AM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/02/09,"Freshman","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
01/05/09,"Freshman","Abraham Lincoln HS",05:30:00 PM,07:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/05/09,"Junior Varsity","Abraham Lincoln HS",05:30:00 PM,07:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/05/09,"Varsity","Abraham Lincoln HS",05:30:00 PM,07:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/06/09,"Junior Varsity","Abraham Lincoln HS",04:15:00 PM,06:15:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/06/09,"Varsity","Abraham Lincoln HS",04:15:00 PM,06:15:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/07/09,"Freshman","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/07/09,"Junior Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/07/09,"Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/08/09,"Junior Varsity","Abraham Lincoln HS",05:30:00 PM,07:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/08/09,"Varsity","Abraham Lincoln HS",05:30:00 PM,07:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/09/09,"Freshman","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/09/09,"Junior Varsity","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/09/09,"Varsity","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/12/09,"Junior Varsity","Abraham Lincoln HS",05:30:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/12/09,"Varsity","Abraham Lincoln HS",05:30:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/13/09,"Freshman","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
01/14/09,"Freshman","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/14/09,"Junior Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/14/09,"Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/15/09,"Junior Varsity","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/15/09,"Varsity","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/16/09,"Freshman","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/19/09,"Freshman","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/19/09,"Junior Varsity","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/19/09,"Varsity","Abraham Lincoln HS",11:00:00 AM,01:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/20/09,"Freshman","Abraham Lincoln HS",05:30:00 PM,07:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/20/09,"Junior Varsity","Abraham Lincoln HS",05:30:00 PM,07:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/20/09,"Varsity","Abraham Lincoln HS",05:30:00 PM,07:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/21/09,"Freshman","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/21/09,"Junior Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/21/09,"Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/23/09,"Freshman","Abraham Lincoln HS",04:15:00 PM,06:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/23/09,"Junior Varsity","Abraham Lincoln HS",04:15:00 PM,06:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/23/09,"Varsity","Abraham Lincoln HS",04:15:00 PM,06:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/26/09,"Freshman","Abraham Lincoln HS",04:00:00 PM,05:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/26/09,"Junior Varsity","Abraham Lincoln HS",04:00:00 PM,05:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/26/09,"Varsity","Abraham Lincoln HS",04:00:00 PM,05:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/28/09,"Freshman","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/28/09,"Junior Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/28/09,"Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
01/29/09,"Freshman","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
01/29/09,"Junior Varsity","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
01/29/09,"Varsity","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
01/30/09,"Freshman","Abraham Lincoln HS",03:15:00 PM,04:15:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/02/09,"Junior Varsity","Abraham Lincoln HS",05:30:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/02/09,"Varsity","Abraham Lincoln HS",05:30:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/03/09,"Freshman","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
02/04/09,"Freshman","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/04/09,"Junior Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/04/09,"Varsity","Abraham Lincoln HS",05:15:00 PM,07:00:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/05/09,"Freshman","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/05/09,"Junior Varsity","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/05/09,"Varsity","Abraham Lincoln HS",05:00:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/06/09,"Freshman","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
02/09/09,"Freshman","Abraham Lincoln HS",04:45:00 PM,06:15:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/09/09,"Junior Varsity","Abraham Lincoln HS",04:45:00 PM,06:15:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/09/09,"Varsity","Abraham Lincoln HS",04:45:00 PM,06:15:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/10/09,"Freshman","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
02/11/09,"Freshman","Abraham Lincoln HS",05:15:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/11/09,"Junior Varsity","Abraham Lincoln HS",05:15:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/11/09,"Varsity","Abraham Lincoln HS",05:15:00 PM,06:45:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/13/09,"Junior Varsity","Abraham Lincoln HS",05:00:00 PM,06:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/13/09,"Varsity","Abraham Lincoln HS",05:00:00 PM,06:30:00 PM,"ALHS Girls Basketball","2008-2009","High School","Practice"
02/14/09,"Junior Varsity","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
02/14/09,"Varsity","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
02/17/09,"Varsity","Abraham Lincoln HS","TBA","TBA","ALHS Girls Basketball","2008-2009","High School","Practice"
