Season,Date,Time,Visitor,Home,Division,Location,Court
Fall 2016,11/5/2016,1:00pm,4B AG Lady Jays White 4th,4B Millard West Green 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/5/2016,12:00pm,4B EAA Elkhorn 4th,4B Elkhorn Elite Blue 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/5/2016,2:00pm,4B AL Jr Lynx 4th,4B Bellevue Thunder 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/5/2016,3:00pm,4B Millard West Green 4th,4B Bennington Badgers Anderson 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/11/2016,6:30pm,4B Bellevue Thunder 4th,4B Waverly Vikings Harms 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,11/11/2016,7:30pm,4B AL Jr Lynx 4th,4B Westside Red 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,11/12/2016,1:00pm,4B AG Lady Jays Blue,4B DC West Swish 3rd/4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/12/2016,12:00pm,4B AG Lady Jays White 4th,4B EAA Elkhorn 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/12/2016,2:00pm,4B Elkhorn Elite Blue 4th,4B Roncalli Lady Pride 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/12/2016,3:00pm,4B Bennington Badgers Anderson 4th,4B AG Lady Jays Blue,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/18/2016,6:30pm,4B Waverly Vikings Harms 4th,4B Westside Red 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,11/18/2016,7:30pm,4B Waverly Vikings Harms 4th,4B AL Jr Lynx 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,11/19/2016,1:00pm,4B Roncalli Lady Pride 4th,4B AG Lady Jays White 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/19/2016,12:00pm,4B Bennington Badgers Anderson 4th,4B Elkhorn Elite Blue 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/19/2016,2:00pm,4B EAA Elkhorn 4th,4B Westside Red 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/19/2016,3:00pm,4B AG Lady Jays Blue,4B Bellevue Thunder 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,12/2/2016,6:30pm,4B Waverly Vikings Harms 4th,4B Millard West Green 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,12/2/2016,7:30pm,4B Elkhorn Elite Blue 4th,4B Waverly Vikings Harms 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,12/3/2016,1:00pm,4B AG Lady Jays White 4th,4B Bennington Badgers Anderson 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,12/3/2016,12:00pm,4B Bellevue Thunder 4th,4B Roncalli Lady Pride 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,12/3/2016,2:00pm,4B Millard West Green 4th,4B AG Lady Jays Blue,4th Grade Bronze,NE Elite,Court 2
Fall 2016,12/3/2016,3:00pm,4B AL Jr Lynx 4th,4B EAA Elkhorn 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,1:00pm,4GS Bennington Badgers Reinoehl 4th,4GS Lady Grizzlies Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,12:00pm,4GS Gretna Heckenlively 4th,4GS Westside Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,2:00pm,4GS Blair Purple 4th,4GS Gretna Horak 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,3:00pm,4GS Lady Grizzlies Black 4th,4GS Marian Jr Crusaders O'Brien 3rd/4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,4:00pm,4GS Roncalli Lady Pride 4th,4GS Elkhorn Elite Gold 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,5:00pm,4GS Millard South 4th,4GS Elkhorn Angles 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,6:00pm,4GS Elkhorn Elite Gold 4th,4GS Lady Grizzlies Orange 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,7:00pm,4GS Elkhorn South Jr Storm 4th,4GS Elkhorn Elite Red 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,1:00pm,4GS Elkhorn Elite Red 4th,4GS Blair Purple 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,12:00pm,4GS Millard West Black 4th,4GS Roncalli Lady Pride 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,2:00pm,4GS Marian Jr Crusaders O'Brien 3rd/4th,4GS Millard West Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,3:00pm,4GS OSA Gold 4th,4GS Bennington Badgers Reinoehl 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,4:00pm,4GS Elkhorn Angles 4th,4GS OSA Gold 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,5:00pm,4GS Westside Black 4th,4GS Millard South 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,6:00pm,4GS Gretna Horak 4th,4GS Gretna Heckenlively 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,7:00pm,4GS Lady Grizzlies Orange 4th,4GS Elkhorn South Jr Storm 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,1:00pm,4GS Millard South 4th,4GS Gretna Horak 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,12:00pm,4GS Lady Grizzlies Black 4th,4GS Elkhorn Angles 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,2:00pm,4GS Elkhorn Elite Gold 4th,4GS Marian Jr Crusaders O'Brien 3rd/4th,4th Grade Gold/Silver,NE Elite,Court 1
